DC,DC Result Source,(2026-06-19 - 2026-06-25) panel_login_session,(2026-06-19 - 2026-06-25) discussion_activity
US,9,127,83
US,11,1086,629
US,13,278,219
US,15,0,0
US,16,1173,1166
US,17,5258,8659
EU,1,27324,104535
EU,2,19,24
EU,3,6288,21447
AU,1,39,6
AE,1,32,4
CA,1,30,12
SA,1,15,3
SA,6,11,0
SA,7,21,17
TOTAL,,41701,136804
